measure_id,measure_name,location_id,location_name,pathogen,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1990,69989.26587,92647.45751,47331.07424
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1991,69231.38994,92657.10233,45805.67754
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1992,67931.51683,89242.84706,46620.18661
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1993,67763.52486,89410.26228,46116.78744
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1994,67494.39956,88467.92097,46520.87815
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1995,67372.90411,87047.13442,47698.67379
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1996,64658.41085,85920.29856,43396.52315
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1997,62691.64828,83114.52847,42268.76808
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1998,64278.83714,82890.88554,45666.78873
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1999,62404.32142,80804.46704,44004.17581
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2000,60357.90977,77940.34779,42775.47175
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2001,60656.32361,76564.87053,44747.7767
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2002,61067.67202,77995.5133,44139.83075
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2003,59579.55478,75677.07018,43482.03939
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2004,60072.71892,76323.56317,43821.87466
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2005,64423.95489,79324.00857,49523.9012
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2006,65759.18681,80716.48293,50801.8907
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2007,64609.20044,79558.24331,49660.15756
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2008,64674.61191,81173.42129,48175.80253
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2009,67506.36677,84937.61312,50075.12042
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2010,67304.14517,83369.72077,51238.56956
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2011,65044.32362,81642.41962,48446.22763
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2012,63375.50899,78034.16514,48716.85285
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2013,62481.90949,77419.51546,47544.30353
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2014,62477.67829,76469.98976,48485.36682
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2015,63064.30102,76701.03193,49427.57011
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2016,62568.098,77116.96958,48019.22642
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2017,59980.44086,73767.98697,46192.89475
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2018,57184.49981,72182.75093,42186.2487
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2019,54342.15036,68124.05629,40560.24442
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2020,49596.0807,62876.59949,36315.56191
1,Deaths,1,Global,Acinetobacter baumannii,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2021,46520.25974,59787.66306,33252.85642
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1990,5204.641696,7850.114977,2559.168415
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1991,5138.412225,7870.289072,2406.535378
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1992,5011.641226,7534.7747,2488.507752
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1993,5008.047268,7675.322487,2340.772049
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1994,4924.817392,7466.520982,2383.113802
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1995,4868.003731,7236.649529,2499.357933
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1996,4830.774601,7411.239731,2250.309472
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1997,4768.630221,7181.677762,2355.582679
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1998,4680.278302,6885.453968,2475.102635
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,1999,4649.823272,6996.026669,2303.619875
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2000,4580.220665,6773.643073,2386.798257
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2001,4499.524841,6530.807814,2468.241868
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2002,4445.239462,6633.320639,2257.158285
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2003,4430.484864,6589.253562,2271.716166
1,Deaths,1,Global,Citrobacter spp.,3,Both,1,<5 years,302,Diarrheal diseases,183,Clostridium difficile,1,Number,2004,4379.913131,6474.506548,2285.319713
